标题,价格,样式,楼层,朝向,面积,小区,地址
受欢迎好房，空气清新，高清照片，有钥匙房源,4500元/月,1室 1厅,中区/18层,暂无数据,杨浦 鞍山,密云小区,"密云路454弄,"
好房待租，小户型，有钥匙房源，看房客户多,2800元/月,1室 0厅,中区/5层,朝西南,杨浦 鞍山,鞍山四村第三小区,"阜新路180弄,"
大华锦绣华城，人气房源，温馨一室，高区景观房,5000元/月,1室 1厅,高区/24层,朝南,浦东 北蔡,大华锦绣华城（二街区）,"华绣路18弄,北艾路1500弄,北艾路1......"
曼克顿豪庭，实地看房，上门实拍，真实在租,9200元/月,1室 2厅,低区/32层,朝南,静安 江宁路,曼克顿豪庭,西康路339弄
钥匙在链家，上门实拍，交通方便，实地看房,8200元/月,2室 2厅,低区/11层,暂无数据,浦东 杨东,涵合园（公寓）,东绣路1389弄
万科金色雅筑，看房有钥匙，好楼层，实地看房,6800元/月,3室 2厅,中区/11层,暂无数据,浦东 三林,万科金色雅筑,三林路1300弄
公园3000黄兴花园，附近有地铁，受欢迎好房，光线充足,6700元/月,2室 0厅,中区/17层,朝南北,杨浦 黄兴公园,公园3000黄兴花园,"双阳北路288弄,"
玉兰花苑，链家有钥匙，地铁沿线，人气房源,5800元/月,1室 1厅,低区/23层,暂无数据,徐汇 徐家汇,玉兰花苑,"蒲汇塘路50号,漕溪北路玉兰花苑"
最近看房多，近地铁，如您所见，空气清新,2800元/月,1室 0厅,中区/7层,暂无数据,杨浦 鞍山,双辽新村,"双辽支路60弄,双辽新村"
碧林湾南苑，好楼层，看房有钥匙，一室小户型,3900元/月,1室 1厅,中区/14层,暂无数据,闵行 七宝,碧林湾南苑（华友路260弄）,华友路260弄
张家浜小区，一室小户型，看房有钥匙，看房客户多,3700元/月,1室 1厅,中区/7层,朝南,杨浦 周家嘴路,张家浜小区,"双辽支路45弄,双辽支路65弄"
上门实勘，链家房源，实地看房，精致户型,13300元/月,2室 2厅,高区/23层,暂无数据,黄浦 豫园,士林华苑,河南南路555弄
上门实勘，实地看房，一室小户型，钥匙在店,6500元/月,1室 1厅,低区/18层,暂无数据,闵行 金虹桥,天鸿公寓,吴中路677弄99支弄
人气房源，高清照片，真实在租，生活很便利,3500元/月,1室 1厅,低区/27层,暂无数据,松江 松江大学城,星辰园（公寓）,梅家浜路1505弄
祁连四村，交通方便，两室户，链家有钥匙,4200元/月,2室 1厅,中区/6层,暂无数据,宝山 上大,祁连四村,祁连山路2777弄
有钥匙，温馨之家，低楼层，一链倾城,3500元/月,1室 1厅,低区/6层,暂无数据,虹口 凉城,广中三村,广中三村
放心好房，有钥匙方便看，最近看房多，改善住房,6500元/月,3室 2厅,高区/6层,暂无数据,闵行 七宝,万兆家园（五期）,七莘路2929弄33-60号
星辰园，高清实拍，有爱有家，受欢迎好房,3400元/月,2室 1厅,低区/27层,朝南,松江 松江大学城,星辰园（公寓）,梅家浜路1505弄
上门实勘，简约二室，低区出入方便，钥匙房,4000元/月,2室 1厅,低区/6层,暂无数据,杨浦 黄兴公园,控江东三村,控江三村1-87号
天山二村，享受好房，上下楼方便，1室1厅,5000元/月,1室 1厅,中区/5层,朝南,长宁 中山公园,天山二村,"娄山关路114弄,茅台路51号,天山二村"
平南三四村，两室户，生活很便利，钥匙在链家,4700元/月,2室 1厅,中区/6层,暂无数据,闵行 古美,平南三四村,"平南三村,平南四村"
公交新村，好房好心情，光线棒，上门实勘,5100元/月,2室 0厅,高区/7层,暂无数据,杨浦 鞍山,公交新村,"四平路1230弄56号,"
乾溪新村，有钥匙房源，人气房源，高区景观好,4200元/月,2室 1厅,高区/6层,朝南,宝山 大场镇,乾溪新村,"乾溪路100弄,"
近地铁，光线充足，钥匙在店，小户型,6500元/月,1室 2厅,中区/34层,朝南,普陀 中远两湾城,中远两湾城,"远景路97弄、中潭路100弄（四期）,"
上下楼方便，附近有地铁，有钥匙方便看，高清照片,3000元/月,1室 1厅,低区/6层,朝南,浦东 三林,三林苑,"三林路1466弄1-106号,永泰路11......"
控江七村，有钥匙方便看，好房好心情，交通方便,2800元/月,1室 0厅,中区/5层,暂无数据,杨浦 控江路,控江七村,控江七村
人气房源，低楼层，钥匙在链家，好房待租,4200元/月,1室 0厅,低区/6层,暂无数据,闸北 大宁,童家浜小区,"老沪太路255弄,普善路1029弄"
南杨小区，多次带看，链家有钥匙，交通便利,3900元/月,1室 1厅,低区/7层,朝南,浦东 三林,南杨小区(长清路),"长清路643弄,"
东泉小区，精致户型，好房待租，钥匙在链家,5200元/月,2室 1厅,高区/6层,暂无数据,徐汇 植物园,东泉小区,"东泉路50弄,东泉路51弄,东泉路64弄......"
卢湾都市花园，钥匙在店，出行方便，1室2厅,8500元/月,1室 2厅,低区/28层,暂无数据,黄浦 五里桥,卢湾都市花园,鲁班路509弄
汇龙新城，出行方便，简约二室，好房好心情,12500元/月,2室 2厅,低区/33层,暂无数据,黄浦 五里桥,汇龙新城,徐家汇路515弄
一链倾城，一室小户型，高清实拍，生活很便利,10000元/月,1室 1厅,低区/10层,暂无数据,长宁 古北,古北嘉年华庭,"黄金城道258弄（北区）,黄金城道259......"
爱家豪庭，附近有地铁，上门实拍，一链倾城,9800元/月,2室 2厅,低区/20层,暂无数据,虹口 临平路,爱家豪庭,物华路246弄
温馨之家，有钥匙方便看，真实在租，看房客户多,3500元/月,1室 1厅,高区/7层,暂无数据,杨浦 五角场,三门路358弄,三门路358弄
秋水云庐，人气房源，好房好心情，交通便利,10500元/月,2室 2厅,中区/33层,朝南,普陀 长寿路,秋水云庐,长寿路28弄
低区出入方便，近地铁，受欢迎好房，如您所见,15000元/月,2室 2厅,低区/14层,暂无数据,闵行 金虹桥,名都城（公寓）,虹许路788号
田林十一村，低区出入方便，适合自住，享受好房,6000元/月,2室 1厅,低区/6层,暂无数据,徐汇 田林,田林十一村,田林十一村
愉景华庭，有钥匙，简约二室，空气清新,7800元/月,2室 2厅,中区/18层,暂无数据,普陀 万里,愉景华庭,新村路2003弄
海州丽园，精致户型，闹中取静，看房客户多,11500元/月,2室 2厅,高区/19层,朝南北,黄浦 蓬莱公园,海州丽园,丽园路68弄
高区采光好，有钥匙，1室1厅，交通便利,2900元/月,1室 1厅,高区/6层,暂无数据,宝山 张庙,呼玛四村,呼玛四村
公园3000黄兴花园，多次带看，钥匙房，如您所见,5200元/月,1室 1厅,中区/17层,朝南,杨浦 黄兴公园,公园3000黄兴花园,"双阳北路288弄,"
上门实勘，有钥匙，采光好，2室2厅,12000元/月,2室 2厅,高区/36层,朝南,浦东 源深,陆家嘴国际华城,张杨路1515弄
国和一村，看房方便，1室1厅1卫，链家好房,3350元/月,1室 1厅,高区/6层,朝南,杨浦 中原,国和一村,国和一村
南京西路公馆，看房方便，1室2厅，有爱有家,8800元/月,1室 2厅,高区/30层,暂无数据,静安 静安寺,南京西路公馆,"南京西路2066号,南京西路2068号"
金杨新村五街坊，精致户型，有爱有家，实地看房,4500元/月,2室 1厅,中区/6层,暂无数据,浦东 金杨,金杨新村五街坊,"银山路115弄,云山路1395弄,金杨路......"
保利西子湾，南北直通，有钥匙房源，适合自住,5200元/月,2室 2厅,低区/14层,朝南北,松江 松江大学城,保利西子湾,广富林路1188弄
凯欣豪园，光线棒，多次带看，1室0厅,7300元/月,1室 0厅,高区/31层,朝西南,长宁 中山公园,凯欣豪园,汇川路88弄
茅台雅苑，采光棒，好房待租，受欢迎好房,6000元/月,2室 1厅,高区/24层,暂无数据,长宁 仙霞,茅台雅苑,茅台路597弄9-11号
链家有钥匙，交通方便，温馨一室，受欢迎好房,4800元/月,1室 1厅,中区/6层,朝南,徐汇 徐家汇,番禺小区,番禺路800弄
惠德新邨，上门实勘，受欢迎好房，2室1厅1卫,5200元/月,2室 1厅,高区/7层,暂无数据,浦东 北蔡,惠德新邨,芳华路573弄
上影公寓，地铁沿线，1室2厅1卫，放心好房,6200元/月,1室 2厅,高区/18层,暂无数据,徐汇 徐家汇,上影公寓,"斜土路2899号,斜土路2905号"
嘉和阳光城，有钥匙方便看，2室2厅1卫，高清实拍,5200元/月,2室 2厅,高区/14层,暂无数据,松江 九亭,嘉和阳光城,九新公路58弄
中凯城市之光，如您所见，高清实拍，有钥匙房源,12000元/月,2室 2厅,低区/34层,朝南,静安 南京西路,中凯城市之光（静安）,"威海路333弄,大沽路368弄（回搬房）......"
近地铁，有爱有家，实地看房，空气清新,6500元/月,1室 2厅,中区/31层,暂无数据,浦东 源深,金隆置地大厦,昌邑路588弄
天山河畔花园，3室2厅，交通方便，实地看房,16000元/月,3室 2厅,低区/28层,朝南,长宁 天山,天山河畔花园,水城路883弄
2室0厅，一链倾城，出行方便，多次带看,4800元/月,2室 0厅,中区/6层,暂无数据,闵行 静安新城,静安新城二区,漕宝路1467弄二区
古宋小区，视野很好，温馨一室，看房有钥匙,4600元/月,1室 1厅,高区/6层,朝南,长宁 仙霞,古宋小区,茅台路600弄
城南路305弄，有钥匙房源，生活很便利，高清实拍,2700元/月,2室 1厅,中区/5层,暂无数据,浦东 川沙,城南路305弄,城南路305弄
颛溪八村，看房方便，附近有地铁，人气房源,3300元/月,2室 1厅,中区/6层,暂无数据,闵行 颛桥,颛溪八村,颛兴路345弄
附近有地铁，好房待租，有钥匙房源，南北户型,6800元/月,2室 2厅,低区/11层,朝南北,浦东 金桥,证大家园（公寓）,五莲路1728弄，巨峰路399弄，五莲路......
斜土路550弄，人气房源，精致户型，高清照片,7000元/月,2室 1厅,中区/6层,朝东西,黄浦 五里桥,斜土路550弄,斜土路550弄
九英里，出行方便，有钥匙，上门实拍,5500元/月,2室 1厅,中区/11层,暂无数据,宝山 共康,九英里,长临路1318弄
两室户，人气房源，好楼层，钥匙房,8700元/月,2室 2厅,中区/12层,朝南,浦东 张江,张江汤臣豪园四期,藿香路238弄
菊园，钥匙在店，交通便利，适合自住,11000元/月,2室 2厅,低区/35层,朝北,浦东 陆家嘴,菊园,浦城路366弄
房型正气，多次带看，钥匙在店，近地铁,4600元/月,2室 1厅,中区/6层,朝南北,浦东 三林,杉林新月环林东路879弄,环林东路879弄
1室1厅，看房有钥匙，地铁沿线，高清实拍,4000元/月,1室 1厅,高区/18层,暂无数据,浦东 金桥,浦江东旭公寓,"东靖路626弄,东靖路669弄,莱阳路1......"
大华一村，温馨一室，有钥匙房源，交通便利,3300元/月,1室 1厅,中区/6层,暂无数据,宝山 大华,大华一村,"沪太路1500弄,沪太路1508弄,华灵......"
天后宫大楼，链家房源，看房方便，人气房源,6800元/月,2室 1厅,中区/24层,暂无数据,浦东 陆家嘴,天后宫大楼,浦东南路1200号
房型正气，低区出入方便，最近看房多，好房好心情,3800元/月,2室 2厅,低区/10层,朝南北,宝山 顾村,文宝苑,菊联路89弄
有钥匙房源，改善住房，有爱有家，受欢迎好房,18000元/月,3室 2厅,中区/35层,朝南,黄浦 五里桥,永业公寓,徐家汇路135弄
光线充足，精致户型，享受好房，交通方便,7800元/月,2室 2厅,中区/24层,暂无数据,普陀 万里,中浩云花园,富平路299弄
虹桥花苑，一链倾城，有钥匙，3室2厅2卫,15000元/月,3室 2厅,高区/16层,朝南北,闵行 金虹桥,虹桥花苑,虹梅路3200弄
由由五村，实地看房，低楼层，一室小户型,4300元/月,1室 1厅,低区/6层,朝南,浦东 北蔡,由由五村,"严中路300弄,严中路388弄"
临河小区，光线棒，交通方便，多次带看,3600元/月,2室 1厅,高区/6层,朝南,浦东 川沙,临河小区,华夏一路325弄
汇龙新城，钥匙在店，改善住房，空气清新,19000元/月,3室 2厅,中区/30层,朝南,黄浦 五里桥,汇龙新城,徐家汇路515弄
看房客户多，好房好心情，地铁沿线，精致户型,6500元/月,2室 1厅,中区/7层,暂无数据,徐汇 徐家汇,凯旋路2280弄,凯旋路2280弄
多次带看，钥匙房，出行方便，好房待租,3600元/月,1室 1厅,高区/6层,朝南,宝山 张庙,民悦苑,通河三村1-2、8-59、63-93、1......
龙南三四村，有钥匙，高区阳光房，人气房源,4000元/月,1室 1厅,高区/7层,朝南,徐汇 龙华,龙南三四村,"龙南三村,"
崂山二村，看房客户多，如您所见，交通方便,3500元/月,1室 0厅,中区/5层,暂无数据,浦东 陆家嘴,崂山二村,"乳山路161弄1-20号,"
金鹏苑，2室1厅1卫，采光棒，交通方便,5000元/月,2室 1厅,高区/6层,朝南,浦东 金桥,金鹏苑,金工路172弄
放心好房，看房方便，两室户，受欢迎好房,7800元/月,2室 2厅,高区/11层,朝南,浦东 杨东,东方龙苑,东建路228弄1-27号
人气房源，交通便利，上下楼方便，链家好房,4600元/月,2室 0厅,低区/6层,暂无数据,浦东 世博,上南三村,"上南三村,"
虹桥万博花园，多次带看，附近有地铁，南北通透,12000元/月,2室 2厅,低区/18层,朝南北,长宁 中山公园,虹桥万博花园,古北路69弄
世纪之门，空气清新，附近有地铁，多次带看,5000元/月,1室 1厅,中区/23层,暂无数据,普陀 长寿路,世纪之门,江宁路1415弄
中环明珠，有钥匙房源，有爱有家，光线棒,9000元/月,2室 2厅,高区/17层,暂无数据,虹口 凉城,中环明珠,汶水东路298弄
高区景观房，有钥匙房源，上门实勘，受欢迎好房,5000元/月,1室 1厅,高区/25层,朝东,普陀 长寿路,圣天地酒店式公寓,江宁路1145弄
新领地，链家房源，看房有钥匙，近地铁,5000元/月,1室 1厅,中区/29层,暂无数据,浦东 花木,新领地,杜鹃路188弄
康乐小区，精致户型，享受好房，看房客户多,4200元/月,2室 1厅,高区/6层,暂无数据,徐汇 康健,康乐小区（徐汇）,"桂林东街169弄,钦州南路451弄,钦州......"
证大家园，多次带看，简约二室，链家有钥匙,6000元/月,2室 2厅,中区/5层,暂无数据,浦东 金桥,证大家园（公寓）,五莲路1728弄，巨峰路399弄，五莲路......
2室1厅，交通方便，受欢迎好房，高区阳光房,6000元/月,2室 1厅,高区/6层,暂无数据,浦东 源深,梅园新村(浦东),"梅园新村,"
近地铁，3室2厅2卫，看房客户多，放心好房,9200元/月,3室 2厅,高区/18层,朝南,杨浦 黄兴公园,金宇名邸,靖宇南路118弄
惠德新邨，精致户型，闹中取静，实地看房,4800元/月,2室 1厅,高区/6层,暂无数据,浦东 北蔡,惠德新邨,芳华路573弄
最近看房多，1室1厅1卫，钥匙在链家，高清大图,4200元/月,1室 1厅,中区/6层,暂无数据,浦东 世博,济阳二村,"耀华路500弄,耀华路560号,耀华路5......"
虹桥河滨花园，多次带看，链家有钥匙，交通方便,12800元/月,3室 2厅,低区/32层,暂无数据,长宁 中山公园,虹桥河滨花园,长宁路1898弄
